Measurement Number,Total Samples,Pin44 Active (1/0),Pin45 Active (1/0),Avg Pin44 (mid points),Avg Pin45 (mid points),Out of Normal Range
1,6,0,1,5.0,210.5,0
2,6,1,0,3248.0,3165.5,0
3,6,0,1,5.0,204.0,0
4,6,0,1,4.0,203.0,0
5,6,1,0,3247.5,3168.5,0
6,6,1,0,3247.0,3164.5,0
7,6,1,0,3246.5,3170.5,0
8,6,0,1,4.0,203.0,0
9,6,0,1,5.5,202.0,0
10,6,0,1,4.0,206.5,0
11,6,0,1,3.0,206.0,0
12,6,0,1,4.5,209.0,0
13,6,0,1,4.5,205.5,0
14,6,1,0,3247.0,3169.5,0
15,6,0,1,6.0,206.0,0
16,6,0,1,0.0,203.0,0
17,6,1,0,3247.5,3166.0,0
18,6,1,0,3245.0,3168.5,0
19,6,1,0,3247.0,3169.5,0
20,6,0,1,5.0,205.0,0
21,6,1,0,3247.5,3166.5,0
22,6,1,0,3247.5,3170.5,0
23,6,1,0,3248.0,3168.0,0
24,2,0,0,0.0,0.0,0
25,6,1,0,3247.5,3169.5,0
26,6,1,0,3248.0,3168.0,0
27,6,1,0,3247.0,3169.0,0
28,6,1,0,3248.0,3167.5,0
29,6,1,0,3248.0,3166.0,0
30,6,0,1,3.5,203.0,0
31,6,1,0,3247.5,3166.5,0
32,6,0,1,6.0,205.0,0
33,6,0,1,6.0,210.5,0
34,6,0,1,5.5,205.5,0
35,6,1,0,3248.5,3166.0,0
36,6,0,1,5.0,206.0,0
37,6,0,1,2.5,206.0,0
38,6,1,0,3247.0,3168.5,0
39,6,0,1,5.5,205.5,0
40,6,1,0,3247.5,3169.5,0
41,6,0,1,2.0,206.5,0
42,6,0,1,4.5,206.0,0
43,6,0,1,4.5,204.0,0
44,6,1,0,3249.0,3167.5,0
45,6,1,0,3247.0,3165.5,0
46,6,0,1,2.0,205.5,0
47,6,1,0,3247.5,3167.5,0
48,5,1,0,3248.5,3168.5,0
49,6,1,0,3248.5,3168.5,0
50,6,1,0,3247.0,3169.0,0
51,6,1,0,3248.0,3167.0,0
52,6,1,0,3248.0,3168.0,0
53,6,1,0,3247.0,3167.0,0
54,6,1,0,3248.0,3168.5,0
55,6,0,1,4.0,204.5,0
56,6,1,0,3247.5,3166.5,0
57,6,0,1,3.5,205.0,0
58,6,1,0,3247.5,3169.0,0
